id,sentence,target
1664,"going to this movie is a little like chewing whale blubber it 's an acquired taste that takes time to enjoy , but it 's worth it , even if it does take 3 hours to get through",+
1665,"interminably bleak , to say nothing of boring",-
1666,"a few zingers aside , the writing is indifferent , and jordan brady 's direction is prosaic",-
1667,"as home movie gone haywire , it 's pretty enjoyable , but as sexual manifesto , i 'd rather listen to old tori amos records",+
1668,an instantly forgettable snow and stuntwork extravaganza that likely will be upstaged by an avalanche of more appealing holiday season product,-
1669,"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here",-
1670,the film 's maudlin focus on the young woman 's infirmity and her naive dreams play like the worst kind of hollywood heart string plucking,-
1671,a thought provoking look at how western foreign policy however well intentioned can wreak havoc in other cultures,+
1672,"think the lion king redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world 's most generic rock star",-
1673,our culture is headed down the toilet with the ferocity of a frozen burrito after an all night tequila bender and i know this because i 've seen ` jackass the movie ',-
1674,blithely anachronistic and slyly achronological,+
1675,"it all plays out like a high end john hughes comedy , a kind of elder bueller 's time out",+
1676,charlize chases kevin with a gun courtney chases stuart with a cell phone the sound of gunfire and cell phones ringing,-
1677,"imagine a film that begins as a seven rip off , only to switch to a mix of the shining , the thing , and any naked teenagers horror flick from the 1980s",-
1678,a fascinating case study of flower power liberation and the price that was paid for it,+
1679,"any movie this boring should be required to have ushers in the theater that hand you a cup of coffee every few minutes like a marathon runner trying to finish a race , you need a constant influx of liquid just to get through it",-
1680,"if nothing else , this movie introduces a promising , unusual kind of psychological horror",+
1681,a very funny look at how another culture handles the process of courting and marriage,+
1682,"it 's tough to watch , but it 's a fantastic movie",+
1683,"a whole lot of fun and funny in the middle , though somewhat less hard hitting at the start and finish",+
1684,the formula is familiar but enjoyable,+
1685,dramatically lackluster,-
1686,"i did n't laugh at the ongoing efforts of cube , and his skinny buddy mike epps , to make like laurel and hardy 'n the hood",-
1687,a polished and relatively sincere piece of escapism,+
1688,"big fat liar is little more than home alone raised to a new , self deprecating level",-
1689,i do n't even care that there 's no plot in this antonio banderas lucy liu faceoff it 's still terrible !,-
1690,i 'm just too bored to care,-
1691,nair does n't treat the issues lightly she allows each character to confront their problems openly and honestly,+
1692,no doubt the star and everyone else involved had their hearts in the right place where their heads were is anyone 's guess,-
1693,winds up feeling like lots of other quirky movies that try to score hipness points with young adults,-
1694,"the result is solemn and horrifying , yet strangely detached",-
1695,think of it as american pie on valium,-
1696,"a quaint , romanticized rendering",-
1697,"despite its title , punch drunk love is never heavy handed the jabs it employs are short , carefully placed and dead center",+
1698,"as comedic spotlights go , notorious c h o hits all the verbal marks it should",+
1699,those with an interest in new or singular sorts of film experiences will find what time is it there ? well worth the time,+
1700,the real question this movie poses is not ` who ? ' but ` why ? ',-
1701,"an entertaining , colorful , action filled crime story with an intimate heart",+
1702,"it 's a strange film , one that was hard for me to warm up to",+
1703,"one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them",+
1704,"stevenson 's performance is at once clueless and fiercely committed , a volatile combination",+
1705,the problem is that the movie has no idea of it is serious or not,-
1706,two weeks notice has appeal beyond being a sandra bullock vehicle or a standard romantic comedy,+
